Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-20318,13177135,NullPointerException when union with lateral view,ryu_kobayashi,tiana528,Blocker,Resolved,Duplicate,06/Aug/18 15:16,05/Aug/24 01:22,06/Aug/18 00:00
Bug,HIVE-25662,13409149,"JDBC driver returns "" java.lang.IllegalArgumentException: Unrecognized type name: timestamp with local time zone('Europe/Madrid') in the table's introspection",,idominguez,Blocker,Resolved,Fixed,29/Oct/21 16:11,06/Dec/21 12:28,29/Oct/21 00:00
Bug,HIVE-19497,13158620,SessionHiveMetaStoreClient.getTable should respect default catalog,dongjoon,dongjoon,Blocker,Resolved,Fixed,11/May/18 01:19,01/Oct/19 22:07,
Bug,HIVE-20342,13177787,Create table from CTAS with location fails for managed tables,,pidiaquez,Blocker,Resolved,Duplicate,08/Aug/18 20:46,11/Sep/18 09:37,
Bug,HIVE-19531,13159220,TransactionalValidationListener is getting catalog name from conf instead of table object.,gates,gates,Blocker,Resolved,Fixed,14/May/18 22:54,22/May/18 21:33,
Bug,HIVE-19599,13160160,Release Notes : Highlighting backwards incompatible changes,vgarg,ekoifman,Blocker,Resolved,Fixed,17/May/18 21:12,22/May/18 20:01,
Bug,HIVE-18636,13136627,fix TestTxnNoBuckets.testCTAS - keeps failing on ptest,ekoifman,ekoifman,Blocker,Resolved,Fixed,06/Feb/18 18:06,08/Feb/18 04:34,
Bug,HIVE-17923,13112641,'cluster by' should not be needed for a bucketed table,djaiswal,ekoifman,Blocker,Resolved,Duplicate,27/Oct/17 15:58,07/Dec/17 20:26,
Bug,HIVE-19292,13154952,More than one materialized view in DB affecting query rewrite,jcamacho,asreekumar,Critical,Resolved,Cannot Reproduce,24/Apr/18 21:47,27/Feb/24 22:23,
Bug,HIVE-21052,13205008,Make sure transactions get cleaned if they are aborted before addPartitions is called,jmarhuen,jmarhuen,Critical,Resolved,Fixed,17/Dec/18 23:05,05/Oct/21 08:36,
Bug,HIVE-17893,13111787,Vectorization: Wrong results for vector_udf3.q,mmccline,mmccline,Critical,Resolved,Incomplete,24/Oct/17 19:33,30/Aug/18 05:06,
Bug,HIVE-18722,13138870,Vectorization: Adding SUM(HASH(..)) to full query seems to produce flakey results -- need to investiage,mmccline,mmccline,Critical,Resolved,Won't Fix,15/Feb/18 19:22,30/Aug/18 04:51,
Bug,HIVE-18758,13139798,Vectorization: Fix VectorUDAFVarFinal produces Wrong Results,mmccline,mmccline,Critical,Resolved,Duplicate,21/Feb/18 01:15,22/Jul/18 08:24,
Bug,HIVE-19045,13147840,Vectorization: Disable vectorization in non-vectorized Q files,mmccline,mmccline,Critical,Resolved,Incomplete,26/Mar/18 04:44,22/Jul/18 08:23,
Bug,HIVE-19570,13159711,"Multiple inserts using ""Group by"" and ""Distinct""  generates incorrect results",rtrivedi12,rtrivedi12,Critical,Resolved,Duplicate,16/May/18 12:22,31/May/18 07:36,
Bug,HIVE-17892,13111784,Vectorization: Wrong results for vectorized_timestamp_funcs.q,mmccline,mmccline,Critical,Resolved,Fixed,24/Oct/17 19:26,05/Apr/18 01:06,
Bug,HIVE-19020,13147016,"Vectorization: When vectorized, orc_null_check.q throws NPE in VectorExpressionWriterFactory",mmccline,mmccline,Critical,Resolved,Duplicate,22/Mar/18 00:52,01/Apr/18 05:35,
Bug,HIVE-18819,13141406,Vectorization: Optimize IF statement expression evaluation of THEN/ELSE,mmccline,mmccline,Critical,Resolved,Fixed,28/Feb/18 01:59,03/Mar/18 11:51,
Bug,HIVE-18493,13132090,Add display escape for CR/LF to Hive CLI and Beeline,mmccline,mmccline,Critical,Resolved,Fixed,19/Jan/18 05:47,27/Feb/18 05:42,
Bug,HIVE-17889,13111780,Vectorization: Wrong results for vectorization_15.q,mmccline,mmccline,Critical,Resolved,Cannot Reproduce,24/Oct/17 19:22,26/Feb/18 08:58,
Bug,HIVE-17890,13111781,Vectorization: Wrong results for vectorized_case.q,mmccline,mmccline,Critical,Resolved,Cannot Reproduce,24/Oct/17 19:23,26/Feb/18 08:51,
Bug,HIVE-18466,13131485,Enhance LazySimpleSerDe (Text) to optionally output data escaped for serialization,mmccline,mmccline,Critical,Resolved,Won't Fix,17/Jan/18 07:37,26/Feb/18 06:52,
Bug,HIVE-18800,13140783,Vectorization: VectorCoalesce doesn't handle the all repeated NULLs case,mmccline,mmccline,Critical,Resolved,Fixed,25/Feb/18 12:11,26/Feb/18 01:00,
Bug,HIVE-18756,13139785,Vectorization: VectorUDAFVarFinal produces Wrong Results,mmccline,mmccline,Critical,Resolved,Fixed,21/Feb/18 00:08,22/Feb/18 17:02,
Bug,HIVE-17863,13110876,Vectorization: Two Q files produce wrong PTF query results,mmccline,mmccline,Critical,Resolved,Not A Problem,20/Oct/17 04:19,26/Jan/18 14:46,
Bug,HIVE-17293,13093880,ETL split strategy not accounting for empty base and non-empty delta buckets,prasanth_j,prasanth_j,Critical,Resolved,Duplicate,10/Aug/17 18:25,20/Sep/17 00:44,
Bug,HIVE-21614,13228128,Derby/Oracle does not support CLOB comparisons,dengzh,vrozov,Major,Resolved,Fixed,15/Apr/19 15:07,09/Oct/24 05:02,
Bug,HIVE-26891,13515803,Fix TestArrowColumnarBatchSerDe test failures in branch-3,Aggarwal_Raghav,Aggarwal_Raghav,Major,Resolved,Won't Fix,28/Dec/22 07:27,09/May/24 15:02,
Bug,HIVE-16680,13072433,explainanalyze_3.q and explainuser_3.q (MiniTezCliDriver) failing,mmccline,jcamacho,Major,Resolved,Incomplete,16/May/17 12:46,27/Feb/24 22:23,
Bug,HIVE-19658,13161148,Update Hive to use ORC 1.4.4,,dongjoon,Major,Resolved,Won't Fix,22/May/18 17:59,27/Feb/24 22:23,
Bug,HIVE-19419,13157041,SharedScanOptimizer may leave unnecessary operators in the plan,jcamacho,jcamacho,Major,Resolved,Duplicate,04/May/18 05:31,27/Feb/24 22:13,
Bug,HIVE-17914,13112406,Provide support for complex expressions in ON clauses for SEMIjoins,jcamacho,jcamacho,Major,Resolved,Duplicate,26/Oct/17 21:07,27/Feb/24 22:13,
Bug,HIVE-19028,13147288,Insert values query gives Failed to retrieve table statistics,jcamacho,thejas,Major,Resolved,Duplicate,22/Mar/18 21:10,27/Feb/24 21:52,
Bug,HIVE-17574,13104033,Avoid multiple copies of HDFS-based jars when localizing job-jars,cdrome,mithun,Major,Resolved,Fixed,21/Sep/17 17:37,26/Sep/23 12:01,
Bug,HIVE-20182,13172390,Backport HIVE-20067 to branch-3,dvoros,dvoros,Major,Resolved,Fixed,16/Jul/18 12:29,19/Mar/23 20:28,
Bug,HIVE-22247,13259051,HiveHFileOutputFormat throws FileNotFoundException when partition's task output empty,ayushtkn,xiepengjie,Major,Resolved,Fixed,26/Sep/19 13:13,08/Sep/21 11:15,
Bug,HIVE-22639,13274176,Bucket file name does not match bucket id after query based major compaction,hamvas.aron,hamvas.aron,Major,Resolved,Won't Do,12/Dec/19 14:56,14/Feb/20 14:54,
Bug,HIVE-22108,13250682,Cannot use structured field in a window function for a text table,,xinxianyin,Major,Resolved,Duplicate,14/Aug/19 02:46,06/Dec/19 01:38,
Bug,HIVE-20843,13195275,RELY constraints on primary keys and foreign keys are not recognized,anuragmantri,anuragmantri,Major,Resolved,Duplicate,31/Oct/18 00:29,05/Dec/19 14:46,
Bug,HIVE-21146,13211059,Enforce TransactionBatch size=1 for blob stores,dlavati,ekoifman,Major,Resolved,Fixed,22/Jan/19 18:30,05/Dec/19 10:52,
Bug,HIVE-18762,13140001,Support ALTER TABLE SET OWNER command,spena,kkalyan,Major,Resolved,Fixed,21/Feb/18 20:21,25/Nov/19 08:32,
Bug,HIVE-19558,13159463,HiveAuthorizationProviderBase gets catalog name from config rather than db object,gates,gates,Major,Resolved,Fixed,15/May/18 16:44,01/Oct/19 22:07,
Bug,HIVE-19710,13161982,Hive Schema Tool createCatalog command is not working with postgres DB,mgergely,mgergely,Major,Resolved,Duplicate,25/May/18 06:10,01/Oct/19 22:06,
Bug,HIVE-20586,13185822,Beeline is asking for user/pass when invoked without -u,gubjanos,dvoros,Major,Resolved,Duplicate,18/Sep/18 14:46,12/Dec/18 13:54,
Bug,HIVE-18768,13140102,Use Datanucleus to serialize notification updates,akolb,akolb,Major,Resolved,Fixed,22/Feb/18 04:17,21/Aug/18 22:17,
Bug,HIVE-20337,13177728,CachedStore: getPartitionsByExpr is not populating the partition list correctly,vgumashta,vgumashta,Major,Resolved,Fixed,08/Aug/18 17:01,09/Aug/18 19:04,
Bug,HIVE-20040,13169362,JDBC: HTTP listen queue is 50 and SYNs are lost,gopalv,gopalv,Major,Resolved,Fixed,30/Jun/18 22:12,31/Jul/18 21:13,
Bug,HIVE-20185,13172393,Backport HIVE-20111 to branch-3,dvoros,dvoros,Major,Resolved,Fixed,16/Jul/18 12:42,30/Jul/18 11:53,
Bug,HIVE-20184,13172392,Backport HIVE-20085 to branch-3,dvoros,dvoros,Major,Resolved,Fixed,16/Jul/18 12:37,27/Jul/18 11:39,
Bug,HIVE-20181,13172388,Backport HIVE-20045 to branch-3,dvoros,dvoros,Major,Resolved,Fixed,16/Jul/18 12:21,23/Jul/18 15:02,
Bug,HIVE-20180,13172386,Backport HIVE-19759 to branch-3,dvoros,dvoros,Major,Resolved,Fixed,16/Jul/18 12:16,23/Jul/18 15:02,
Bug,HIVE-20021,13168754,LLAP: Fall back to Synthetic File-ids when getting a HdfsConstants.GRANDFATHER_INODE_ID,gopalv,gopalv,Major,Resolved,Fixed,28/Jun/18 02:14,06/Jul/18 22:47,
Bug,HIVE-19871,13165621,"add_partitions, create constraint calls and create_table_with_constraints do not properly handle client being configured with a non-Hive catalog.",gates,gates,Major,Resolved,Fixed,12/Jun/18 16:53,14/Jun/18 01:54,
Bug,HIVE-19576,13159859,IHMSHandler.getTable not always fetching the right catalog,gates,gates,Major,Resolved,Fixed,16/May/18 22:18,29/May/18 19:39,
Bug,HIVE-19686,13161629,schematool  --createCatalog option fails when using Oracle as the RDBMS,gates,gates,Major,Resolved,Fixed,23/May/18 23:35,29/May/18 18:55,
Bug,HIVE-19364,13156240,autoColumnStats_10.q test results for TestMiniLlapLocalCliDriver with insert-only transactional table does not match those with non-transactional table,steveyeom2017,steveyeom2017,Major,Resolved,Duplicate,30/Apr/18 22:27,02/May/18 16:19,
Bug,HIVE-17163,13089816,Microbenchmark for vector op processing,mmccline,prasanth_j,Major,Resolved,Fixed,25/Jul/17 09:43,07/Mar/18 11:56,
Bug,HIVE-18806,13141021,Add @Ignore for broken test caused by HIVE-18493,mmccline,mmccline,Major,Resolved,Fixed,26/Feb/18 19:27,27/Feb/18 05:41,
Bug,HIVE-18769,13140108,Vectorization: Disable vectorization of key-less outer joins,mmccline,gopalv,Major,Resolved,Fixed,22/Feb/18 05:30,23/Feb/18 03:08,
Bug,HIVE-18707,13138314,Dropping database via HiveMetastoreClient involves useless work,akolb,akolb,Major,Resolved,Duplicate,13/Feb/18 19:36,13/Feb/18 19:38,
Bug,HIVE-18656,13137246,Trigger with counter TOTAL_TASKS fails to result in an event even when condition is met,prasanth_j,asreekumar,Major,Resolved,Invalid,08/Feb/18 19:39,08/Feb/18 19:42,
Bug,HIVE-18528,13133506,"Stats: In the bitvector codepath, when extrapolating column stats for String type columnStringColumnStatsAggregator uses the min value instead of max",vgumashta,vgumashta,Major,Resolved,Fixed,24/Jan/18 22:09,01/Feb/18 19:52,
Bug,HIVE-18471,13131670,Beeline gives log4j warnings,janulatha,janulatha,Major,Resolved,Duplicate,17/Jan/18 19:25,20/Jan/18 20:15,
Bug,HIVE-17916,13112434,remove ConfVars.HIVE_VECTORIZATION_ROW_IDENTIFIER_ENABLED,teddy.choi,ekoifman,Major,Resolved,Fixed,26/Oct/17 23:15,09/Jan/18 03:42,
Bug,HIVE-18019,13117046,add metrics for workload management and expose via jmx endpoint,,prasanth_j,Major,Resolved,Duplicate,08/Nov/17 17:43,05/Jan/18 23:02,
Bug,HIVE-18174,13121536,Vectorization: De-dup Group-by key expressions (identical keys are irrelevant),,gopalv,Major,Resolved,Duplicate,29/Nov/17 03:09,03/Jan/18 09:59,
Bug,HIVE-17985,13116302,"When check the partitions size in the partitioned table, it will throw  NullPointerException",wankunde,wankunde,Major,Resolved,Fixed,06/Nov/17 03:28,09/Nov/17 07:04,06/Nov/17 00:00
Bug,HIVE-17790,13108998,Export/Import: Bug while getting auth entities due to which we write partition info during compilation phase ,vgumashta,vgumashta,Major,Resolved,Fixed,12/Oct/17 18:07,13/Oct/17 03:49,
Bug,HIVE-17688,13106883,HIVE-17543 added an extra query14.q.out file. Remove it,pvary,pvary,Major,Resolved,Won't Fix,04/Oct/17 08:27,04/Oct/17 08:34,
Bug,HIVE-17201,13090834,(Temporarily) Disable failing tests in TestHCatClient,mithun,mithun,Major,Resolved,Won't Fix,28/Jul/17 17:35,25/Aug/17 12:02,
Bug,HIVE-17353,13095501,The ResultSets are not accessible if running multiple queries within the same HiveStatement ,aihuaxu,aihuaxu,Major,Resolved,Not A Problem,18/Aug/17 00:27,21/Aug/17 17:53,
Bug,HIVE-17158,13089505,BeeLine Query Log and Query Result print order is not defined,pvary,pvary,Major,Resolved,Cannot Reproduce,24/Jul/17 12:22,24/Jul/17 13:31,
Bug,HIVE-17068,13086033,HCatalog: Add parquet support,prasanth_j,prasanth_j,Major,Resolved,Duplicate,10/Jul/17 17:54,10/Jul/17 22:07,
Bug,HIVE-16928,13081280,LLAP: Slider takes down all daemons when some daemons fail repeatedly,prasanth_j,prasanth_j,Major,Resolved,Duplicate,21/Jun/17 01:00,21/Jun/17 01:01,
Bug,HIVE-16872,13078721,Vectorization: Support avg() UDAF in complete mode ,,gopalv,Major,Resolved,Duplicate,09/Jun/17 18:51,09/Jun/17 20:20,
Bug,HIVE-16760,13074934,Update errata.txt for HIVE-16743,wzheng,wzheng,Major,Resolved,Fixed,25/May/17 18:15,04/Jun/17 07:56,
Bug,HIVE-26544,13482052,Hive-3.0 build failed with artifact javax.jms:jms:jar:1.1 not found,basapuram.kumar,basapuram.kumar,Minor,Resolved,Workaround,18/Sep/22 13:16,12/Oct/23 15:08,
Bug,HIVE-20205,13173017,Upgrade HBase dependencies off alpha4 release,ngangam,ngangam,Minor,Resolved,Won't Fix,18/Jul/18 19:50,07/Apr/22 16:06,
Bug,HIVE-23719,13312102,MetaStoreDirectSql need to optime QuerySQL,,YulongZ,Minor,Resolved,Fixed,18/Jun/20 04:01,27/Jul/20 08:55,
